0.05	0.101874974
0.06	0.254571137
0.07	0.419559916
0.08	0.579821482
0.09	0.780753965
0.10	0.861843625
0.11	0.884982063
0.12	0.923694385
0.13	0.964721952
0.14	1.051514581
0.15	1.118806696
0.16	1.1587105
0.17	1.171291381
0.18	1.189717674
0.19	1.195302532
0.20	1.223404275
0.21	1.235248835
0.22	1.262700086
0.23	1.225673759
0.24	1.23387763
0.25	1.281941554
0.26	1.304461853
0.27	1.297283369
0.28	1.306292582
0.29	1.313537956
0.30	1.288976883
0.31	1.293653408
0.32	1.327038808
0.33	1.286317368
0.34	1.20445162
0.35	1.155808512
